Site Timezone,5.5,Elevation,405,Is Offshore,0,WRF Region,1,,,,
Longitude,76.921875,,,,,,,,,,
Latitude,20.42926025,,,,,,,,,,
Year,Month,Day,Hour,Minute,temperature at 100m (C),wind direction at 100m (deg),wind speed at 100m (m/s),air pressure at 100m (Pa),wind speed at 80m (m/s),temperature at 80m (C),wind direction at 80m (deg)
2014,1,1,0,30,17.45,65.52,2.58,95640,1.76,17.32,56.42
2014,1,1,1,30,17.16,82.82,2.01,95660,1.17,16.78,69.16
2014,1,1,2,30,17.02,115.11,1.8,95630,1.18,16.64,122.22
2014,1,1,3,30,16.46,83.15,1.63,95620,1.28,16.16,78.63
2014,1,1,4,30,15.88,69.4,1.84,95600,1.51,15.44,59.14
2014,1,1,5,30,20.72,157.98,8.02,96030,7.47,20.11,158.79
2014,1,1,6,30,19.53,163.58,6.38,96050,5.45,18.57,165.47
2014,1,1,7,30,18.96,169.2,5.8,96080,4.7,18.01,172.13
2014,1,1,8,30,18.22,158.86,0.98,96190,0.46,18.36,146.82
2014,1,1,9,30,22.09,163.38,3.31,96230,3.24,22.32,163.41
2014,1,1,10,30,23.33,136.93,3.54,96230,3.5,23.56,137.07
2014,1,1,11,30,23.89,51.44,1.19,96200,1.21,24.12,49.32
2014,1,1,12,30,24.8,76.03,1.73,96180,1.72,25.05,74.74
2014,1,1,13,30,25.41,86.28,2.13,96160,2.12,25.64,85.67
2014,1,1,14,30,25.76,95.3,2.73,96090,2.71,25.98,94.89
2014,1,1,15,30,25.85,101.18,3.44,96020,3.42,26.06,101.09
2014,1,1,16,30,25.61,95.83,3.56,95980,3.54,25.8,95.92
2014,1,1,17,30,25.26,76.92,4.38,95950,4.31,25.37,77.12
2014,1,1,18,30,24.66,64.76,3.74,95930,3.48,24.6,66.74
2014,1,1,19,30,23.97,64.73,4.08,96000,3.68,23.91,69.04
2014,1,1,20,30,23.77,90.31,4.31,96100,4.17,23.73,94.23
2014,1,1,21,30,23.87,108.07,6.49,96090,6.33,23.74,111.93
2014,1,1,22,30,23.8,107.94,7.53,96100,7.6,23.7,112.11
2014,1,1,23,30,23.52,105.83,7.38,96070,7.57,23.39,110.27
2014,1,2,0,30,20.54,103.88,4.03,96120,3.42,20.02,103.92
2014,1,2,1,30,18.88,65.74,3.34,96160,3.1,18.62,62.34
2014,1,2,2,30,20.56,55.99,3.2,96120,2.93,20.49,61.27
2014,1,2,3,30,19.97,71.83,3.83,96110,3.68,19.79,75.79
2014,1,2,4,30,19.53,74.98,4.85,96100,4.45,19.39,79.32
2014,1,2,5,30,19.47,91.15,6.13,96120,5.52,19.22,96.54
2014,1,2,6,30,19.35,92.65,6.03,96120,5.55,19.15,95.89
2014,1,2,7,30,16.37,65.49,4.17,96150,3.62,16.05,60.82
2014,1,2,8,30,17.39,84.47,3.92,96240,2.76,17.47,82.4
2014,1,2,9,30,20.11,80.82,4.01,96280,3.93,20.34,80.36
2014,1,2,10,30,22.34,93.06,4.9,96270,4.84,22.58,92.88
2014,1,2,11,30,22.81,77.78,3.29,96280,3.26,23.05,77.48
2014,1,2,12,30,23.99,83.6,2.73,96270,2.71,24.23,83.25
2014,1,2,13,30,24.83,78.09,2.58,96240,2.56,25.06,77.75
